date,shortwave_radiation_sum,sunshine_duration,daylight_duration,cloud_cover_mean,temperature_2m_mean,relative_humidity_2m_mean,rain_sum,wind_speed_10m_mean,weather_code
2026-02-27,24.270000457763672,42219.19921875,42639.89453125,12.0,25.98958396911621,73.05316162109375,0.0,15.343390464782715,2
2026-02-28,18.729999542236328,37114.6328125,42686.21875,32.75,26.010419845581055,75.5749282836914,0.0,15.33251953125,3
2026-03-01,22.940000534057617,39933.94140625,42732.47265625,86.16666412353516,26.868751525878906,77.7524185180664,1.0,13.537075996398926,51
2026-03-02,24.290000915527344,42071.3359375,42778.6328125,60.0,26.660415649414062,73.05886840820312,0.0,16.078786849975586,3
2026-03-03,24.579999923706055,42358.16796875,42825.0078125,33.75,26.102083206176758,72.74677276611328,0.0,17.23929786682129,3
2026-03-04,23.969999313354492,42268.8671875,42871.7421875,15.041666984558105,26.60833168029785,71.1187515258789,0.0,12.311196327209473,2
2026-03-05,24.059999465942383,42430.84375,42918.796875,51.83333206176758,26.741662979125977,72.78491973876953,0.10000000149011612,12.520432472229004,51
2026-03-06,23.860000610351562,42468.45703125,42966.14453125,15.333333015441895,26.49791717529297,72.18939971923828,1.0,16.31685447692871,53
2026-03-07,22.59000015258789,42506.80859375,43013.75,46.54166793823242,25.412500381469727,77.2589111328125,3.299999237060547,21.70956802368164,53
2026-03-08,22.440000534057617,42545.83984375,43061.5703125,72.375,25.54791831970215,70.75279235839844,0.4000000059604645,22.44667625427246,51
2026-03-09,23.170000076293945,40729.484375,43109.58203125,40.0,25.045835494995117,66.02961730957031,0.0,22.33635711669922,3
2026-03-10,24.559999465942383,42625.59375,43157.7421875,15.458333015441895,25.056245803833008,66.2273941040039,0.0,18.10988426208496,3
2026-03-11,24.81999969482422,42666.17578125,43206.02734375,14.166666984558105,25.27916717529297,67.17854309082031,0.20000000298023224,14.659414291381836,51
2026-03-12,21.93000030517578,42707.125,43254.39453125,42.375,23.385414123535156,74.29988861083984,2.6999998092651367,24.408737182617188,55
2026-03-13,22.059999465942383,42748.359375,43302.8125,23.95833396911621,23.59583282470703,56.07929611206055,0.0,27.294763565063477,3
2026-03-14,23.579999923706055,42789.82421875,43351.2421875,16.625,23.620834350585938,60.67947006225586,0.0,20.90547752380371,3
2026-03-15,23.420000076293945,42831.4296875,43399.66796875,17.75,23.35833168029785,68.83631134033203,0.0,19.388559341430664,1
2026-03-16,23.170000076293945,42873.09765625,43448.03515625,30.5,23.98124885559082,76.66901397705078,0.10000000149011612,14.227922439575195,51
2026-03-17,23.459999084472656,42914.7734375,43496.32421875,30.625,25.118749618530273,74.68025970458984,0.6000000238418579,17.59672737121582,51
2026-03-18,24.93000030517578,42956.35546875,43544.5,9.958333015441895,25.479164123535156,70.51058197021484,0.20000000298023224,17.481590270996094,51
2026-03-19,24.950000762939453,42997.78125,43592.51953125,28.79166603088379,25.550003051757812,68.21375274658203,0.30000001192092896,17.746768951416016,51
2026-03-20,26.489999771118164,43038.984375,43640.3671875,2.4166667461395264,25.847915649414062,63.46484375,0.0,17.189807891845703,0
2026-03-21,24.6200008392334,43079.875,43687.98828125,31.5,25.060415267944336,73.21218872070312,1.5,19.03038215637207,53
2026-03-22,25.56999969482422,43120.390625,43735.37109375,4.541666507720947,25.735414505004883,66.92030334472656,0.0,17.37625503540039,1
2026-03-23,26.59000015258789,43160.91015625,43782.78515625,2.0,25.618751525878906,65.92855072021484,0.0,16.900150299072266,0
2026-03-24,22.040000915527344,43200.0,43830.37890625,29.25,26.620834350585938,70.8813705444336,0.0,14.964396476745605,2
2026-03-25,23.8799991607666,43200.0,43878.11328125,26.33333396911621,26.81666374206543,76.05042266845703,0.10000000149011612,17.057058334350586,51
2026-03-26,26.200000762939453,43200.0,43925.9609375,14.416666984558105,26.727083206176758,72.98905944824219,0.0,13.011873245239258,3
2026-03-27,25.15999984741211,43200.0,43973.90234375,18.66666603088379,26.837499618530273,70.70992279052734,0.0,12.43706226348877,3
2026-03-28,24.8799991607666,43200.0,44021.890625,5.25,27.072919845581055,68.9982681274414,0.20000000298023224,16.086097717285156,51
2026-03-29,26.010000228881836,43200.0,44069.90625,48.25,27.308332443237305,70.4421615600586,0.0,16.07204818725586,3
2026-03-31,25.260000228881836,43200.0,44165.8671875,38.91666793823242,26.84375,74.31632232666016,0.0,13.466288566589355,3
2026-04-01,26.829999923706055,43200.0,44213.7578125,2.4166667461395264,26.887495040893555,66.91455841064453,0.0,17.53158950805664,0
2026-04-02,26.309999465942383,43200.0,44261.546875,10.083333015441895,26.985414505004883,66.26622772216797,0.0,18.357589721679688,1
2026-04-03,26.219999313354492,43200.0,44309.19921875,5.375,27.877084732055664,65.32378387451172,0.0,8.480039596557617,1
2026-04-04,25.969999313354492,42739.3828125,44356.68359375,3.75,27.497915267944336,65.8687973022461,0.0,10.880431175231934,0
2026-04-05,25.15999984741211,43200.0,44403.96875,27.0,27.722915649414062,72.27428436279297,0.0,15.936480522155762,3
2026-04-06,25.8700008392334,43200.0,44451.015625,13.625,28.714582443237305,66.97533416748047,0.0,10.599742889404297,2
2026-04-07,26.989999771118164,43200.0,44497.80078125,29.58333396911621,27.95000457763672,69.02616119384766,0.0,14.494236946105957,3
2026-04-08,24.649999618530273,43200.0,44544.28515625,11.958333015441895,27.51041603088379,72.16889190673828,0.20000000298023224,16.822208404541016,51
2026-04-09,25.260000228881836,43200.0,44590.4296875,14.0,28.993751525878906,64.87114715576172,0.10000000149011612,9.700749397277832,51
2026-04-10,26.489999771118164,43200.0,44636.203125,35.625,28.389585494995117,68.69253540039062,0.0,10.68153190612793,3
2026-04-11,26.549999237060547,43200.0,44681.578125,19.29166603088379,27.70625114440918,66.65108489990234,0.0,13.481233596801758,2
2026-04-12,26.309999465942383,43200.0,44726.81640625,19.875,28.054168701171875,65.58220672607422,0.0,14.28633975982666,3
2026-04-13,26.299999237060547,43200.0,44772.05859375,9.791666984558105,27.766664505004883,69.4094467163086,0.0,13.742412567138672,2
2026-04-14,26.43000030517578,43200.0,44817.265625,6.125,27.26457977294922,65.5582046508789,0.0,14.552165031433105,1
2026-04-15,27.149999618530273,43200.0,44862.4140625,42.75,28.17500114440918,64.38336944580078,0.0,10.947881698608398,3
2026-04-16,25.729999542236328,43200.0,44907.4609375,8.833333015441895,27.82291603088379,64.16570281982422,0.0,9.343649864196777,2
2026-04-17,25.809999465942383,43200.0,44952.37890625,9.916666984558105,27.92083168029785,69.97579956054688,0.0,10.35909652709961,1
2026-04-18,24.670000076293945,43200.0,44997.13671875,28.91666603088379,28.12083625793457,68.4566421508789,0.4000000059604645,9.271698951721191,51
2026-04-19,26.09000015258789,43200.0,45041.6953125,31.54166603088379,28.48333168029785,65.57231903076172,0.6000000238418579,11.613057136535645,51
2026-04-20,25.860000610351562,43200.0,45086.02734375,41.16666793823242,27.872915267944336,68.80154418945312,0.30000001192092896,18.549665451049805,51
2026-04-21,26.649999618530273,43200.0,45130.09375,3.5416667461395264,28.23750114440918,64.93901824951172,0.0,17.94622039794922,0
